signature,timestamp,from,to,amount_sol,depth,path
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,VzurNCf8yjJp1RmTuHU32wT1XbeGoJXJEqQAgYhEj32,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,5.994000000,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,GMCJvYGf5Ex2ARiMquaBDqU6iKM8uiEQkB8jCnoNfHpC,5.994000000,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,GMCJvYGf5Ex2ARiMquaBDqU6iKM8uiEQkB8jCnoNfHpC,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,0.070406720,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,0.070406720,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,8.892555000,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,8.892555000,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,11656.603843800,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,VzurNCf8yjJp1RmTuHU32wT1XbeGoJXJEqQAgYhEj32,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,0.006000000,undefined,"undefined"
3UXwbUpqJ6ZCY3oUnrKeUtsn6FT7Dw8nYjboqMkpDDtxPNGsxvRjenkaFV1HT8BJ5SrvS6v5QaoWPbFixLVAFpXb,2026-02-17T14:12:32.000Z,HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,VzurNCf8yjJp1RmTuHU32wT1XbeGoJXJEqQAgYhEj32,11656.603843800,undefined,"undefined"
3J2R99VwngoXNu6yY9AcWrEGVg1fwmBePdaux6biF7TW8edJmJVy1k8yxEGiwMM4e52kXtbrXuGaiRWmtV8d2Tqs,2026-02-17T14:02:30.000Z,7bBp5pLeQx5iHEfZCD2zZPMSg1hzV9fprA46cEi6Jp8Z,AVedewo4W5E5C9vtjFeAe13DGq6L5WNN2Kk3yuWZGNUN,0.010000000,undefined,"undefined"
3J2R99VwngoXNu6yY9AcWrEGVg1fwmBePdaux6biF7TW8edJmJVy1k8yxEGiwMM4e52kXtbrXuGaiRWmtV8d2Tqs,2026-02-17T14:02:30.000Z,D5YqVMoSxnqeZAKAUUE1Dm3bmjtdxQ5DCF356ozqN9cM,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,0.010000000,undefined,"undefined"
3J2R99VwngoXNu6yY9AcWrEGVg1fwmBePdaux6biF7TW8edJmJVy1k8yxEGiwMM4e52kXtbrXuGaiRWmtV8d2Tqs,2026-02-17T14:02:30.000Z,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,D5YqVMoSxnqeZAKAUUE1Dm3bmjtdxQ5DCF356ozqN9cM,1.259430000,undefined,"undefined"
3J2R99VwngoXNu6yY9AcWrEGVg1fwmBePdaux6biF7TW8edJmJVy1k8yxEGiwMM4e52kXtbrXuGaiRWmtV8d2Tqs,2026-02-17T14:02:30.000Z,D5YqVMoSxnqeZAKAUUE1Dm3bmjtdxQ5DCF356ozqN9cM,9vqYJjDUFecLL2xPUC4Rc7hyCtZ6iJ4mDiVZX7aFXoAe,1306.796043529,undefined,"undefined"
3J2R99VwngoXNu6yY9AcWrEGVg1fwmBePdaux6biF7TW8edJmJVy1k8yxEGiwMM4e52kXtbrXuGaiRWmtV8d2Tqs,2026-02-17T14:02:30.000Z,9vqYJjDUFecLL2xPUC4Rc7hyCtZ6iJ4mDiVZX7aFXoAe,D5YqVMoSxnqeZAKAUUE1Dm3bmjtdxQ5DCF356ozqN9cM,0.670448000,undefined,"undefined"
3J2R99VwngoXNu6yY9AcWrEGVg1fwmBePdaux6biF7TW8edJmJVy1k8yxEGiwMM4e52kXtbrXuGaiRWmtV8d2Tqs,2026-02-17T14:02:30.000Z,AVedewo4W5E5C9vtjFeAe13DGq6L5WNN2Kk3yuWZGNUN,D5YqVMoSxnqeZAKAUUE1Dm3bmjtdxQ5DCF356ozqN9cM,0.010000000,undefined,"undefined"
